Category,Manufacturer,Model,Selection.Model,Usage.hours,Year,Age.at.the.sale,Year.of.Sale,Location.code.ISO,Price,Currency,Origine.Data,URL,Id,annonce_id,clean_model,scrap_id
nacelle-automotrice,Manitou,105 VJR,,1500,2000,16,2016,FR,7800,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/2295310/manitou-105-vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/2295310/manitou-105-vjr.html,81498,105 VJR,1552
nacelle-automotrice,Manitou,105 VJR,,450,2006,10,2016,FR,12500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/5984204/manitou-105-vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/5984204/manitou-105-vjr.html,82560,105 VJR,1552
nacelle-automotrice,Manitou,105 VJR,,2300,2004,12,2016,DE,14200,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/7230235/manitou-105-vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/7230235/manitou-105-vjr.html,83923,105 VJR,1552
nacelle-automotrice,Manitou,105 VJR,,600,2007,9,2016,BE,15000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/9238636/manitou-105-vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/9238636/manitou-105-vjr.html,84118,105 VJR,1552
nacelle-automotrice,Manitou,105 VJR,,800,2000,16,2016,FR,6800,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/9086697/manitou-105-vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/9086697/manitou-105-vjr.html,84388,105 VJR,1552
nacelle-automotrice,Manitou,105 VJR,,900,2003,13,2016,FR,9500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/10816766/manitou-105-vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/10816766/manitou-105-vjr.html,93893,105 VJR,1552
nacelle-automotrice,Manitou,105 VJR,,651,2007,9,2016,BE,8500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/10060977/manitou-105-vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/10060977/manitou-105-vjr.html,93931,105 VJR,1552
nacelle-automotrice,Manitou,105 VJR,,600,2007,9,2016,BE,15000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/10480157/manitou-105-vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/10480157/manitou-105-vjr.html,94047,105 VJR,1552
nacelle-automotrice,Manitou,105 VJR-2,105VJR,400,2008,7,2015,FR,4410,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/4320658/manitou-105-vjr-2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/4320658/manitou-105-vjr-2.html,81092,105 VJR-2,2338
nacelle-automotrice,Manitou,105 VJR-2,,1000,2003,12,2015,FR,3000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/6309379/manitou-105-vjr-2.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/6309379/manitou-105-vjr-2.html,82988,105 VJR-2,2338
